"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"LINK","","0","","LINESTRING(126.91524522374377 37.569073465745554,126.9154123541531 37.569206887365304)","41790","1000","215554","150333","20.9110","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.93884007113839 37.56027872765439,126.93884371385944 37.56010696383848)","47452","1000","184912","56289","19.0660","1141000000","서대문구","1141011400","신촌동"
"NODE","POINT(126.90864271456438 37.572479545012094)","184012","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.94479182790849 37.59197366253521)","82578","0","","0","","","","","1141000000","서대문구","1141011100","홍제동"
"LINK","","0","","LINESTRING(126.93238886527608 37.57724276877085,126.93248679511717 37.577434929597906)","278671","1000","183901","84013","23.0150","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.91306018225721 37.58252687112522,126.91317657040443 37.58263358914963)","204596","1000","151558","79819","15.6840","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.94863200482571 37.59955091456604)","167483","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.93089486783995 37.567050349048934,126.9311249896042 37.56692232589392)","127729","1000","84189","52126","24.8040","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.95180848778143 37.55712750171717,126.95177560774009 37.55730233849098)","214659","1000","71439","84467","19.6210","1141000000","서대문구","1144010100","아현동"
"NODE","POINT(126.91218793789538 37.581167821773)","151604","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.936312847548 37.58230184603733,126.93612305180913 37.58230632053204)","161244","1000","81977","102052","16.7720","1141000000","서대문구","1141011800","홍은동"
"LINK","","0","","LINESTRING(126.93520376271806 37.57636153185536,126.9352926278216 37.57657420221958)","4013","1000","183922","183923","24.8750","1141000000","서대문구","1141011700","연희동"
"LINK","","0","","LINESTRING(126.94136309327179 37.59120204054222,126.94119512424403 37.591533384311525)","27141","1000","82304","82305","39.6550","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.91471392696288 37.572367413355934)","150263","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"LINK","","0","","LINESTRING(126.9097510296226 37.577874287579846,126.90976830952107 37.57803656754896)","3551","1000","183742","183743","18.0760","1141000000","서대문구","1141011900","북가좌동"
"NODE","POINT(126.91480966002491 37.572462837759915)","150260","0","","0","","","","","1141000000","서대문구","1141012000","남가좌동"
"NODE","POINT(126.9485270881358 37.59959723062768)","167482","0","","0","","","","","1141000000","서대문구","1141011800","홍은동"
"NODE","POINT(126.91039624435777 37.57417045954191)","150247","0","","0","","","","","1141000000","서대문구","1141011900","북가좌동"
"LINK","","0","","LINESTRING(126.90363020097021 37.576710401102225,126.90320509745872 37.57660805703657)","281775","1011","144857","144858","39.2320","1141000000","서대문구","1141011900","북가좌동"
